agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,sub_type
CTBTO,CTBTO,2022,57127,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,5011,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,12887,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,919975,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,8967,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,34566,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,7765,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,16753,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3676606,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2577,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,9282,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,65725,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,5155,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,15612667,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,536106,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2547,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,9066,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,183358,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,10248,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2633,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,12840,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3866,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1329,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2609,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,6471,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,61858,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2652,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,207393,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,103697,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,356934,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2861523,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,659404,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,52837,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,6142592,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,268268,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,9044,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,12887,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,6444,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2562,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,42899,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,815345,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1231064,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,413191,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1860612,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,73180,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,122779,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2022,30337,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2022,40110,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2022,1948675,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2022,341169,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2022,805103,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,CTBTO,2022,3674145,Other revenue - specific to the UN entity,Revenue from other activities,R04A
CTBTO,CTBTO,2022,1285086,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2022,18454,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2023,132315322,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2023,6949186,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2023,1386900,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,CTBTO,2023,9869271,Revenue from other activities,Revenue from other activities,R04A
FAO,FAO,2011,507463000,Assessed contributions,Assessed contributions,R01
FAO,FAO,2011,899150947.1,Voluntary non-core (earmarked) contributions,Voluntary non-core (earmarked) contributions,R03
FAO,FAO,2011,78001000,Revenue from other activities,Revenue from other activities,R04
FAO,FAO,2012,511619509,Assessed contributions,Assessed contributions,R01
FAO,FAO,2013,511619509,Assessed contributions,Assessed contributions,R01
FAO,FAO,2014,511974000,Assessed contributions,Assessed contributions,R01
FAO,FAO,2015,496622670.7,Assessed contributions,Assessed contributions,R01
FAO,FAO,2016,487423968.3,Assessed contributions,Assessed contributions,R01
FAO,FAO,2012,47142000,Revenue from other activities,Revenue from other activities,R04
FAO,FAO,2013,78512000,Revenue from other activities,Revenue from other activities,R04
FAO,FAO,2014,46392000,Revenue from other activities,Revenue from other activities,R04
FAO,FAO,2015,10288000,Revenue from other activities,Revenue from other activities,R04
FAO,FAO,2016,38613000,Revenue from other activities,Revenue from other activities,R04
FAO,FAO,2012,774507947,Voluntary non-core (earmarked) contributions,Voluntary non-core (earmarked) contributions,R03
FAO,FAO,2014,0,Voluntary core (un-earmarked) contributions,Voluntary core (un-earmarked) contributions,R02
FAO,FAO,2013,743557586.8,Voluntary non-core (earmarked) contributions,Voluntary non-core (earmarked) contributions,R03
FAO,FAO,2014,805308210.7,Voluntary non-core (earmarked) contributions,Voluntary non-core (earmarked) contributions,R03
FAO,FAO,2015,743648142.6,Voluntary non-core (earmarked) contributions,Voluntary non-core (earmarked) contributions,R03
FAO,FAO,2016,770409171,Voluntary non-core (earmarked) contributions,Voluntary non-core (earmarked) contributions,R03
FAO,FAO,2019,488822877.3,Assessed contributions,Assessed contributions,R01
FAO,FAO,2019,9970306.57,Revenue from other activities,Revenue from other activities,R04
FAO,FAO,2017,473949640.3,Assessed contributions,Assessed contributions,R01
FAO,FAO,2018,498851849.5,Assessed contributions,Assessed contributions,R01
FAO,FAO,2017,38500213,Revenue from other activities,Revenue from other activities,R04
FAO,FAO,2018,10802345.82,Revenue from other activities,Revenue from other activities,R04
FAO,FAO,2012,0,Voluntary core (un-earmarked) contributions,Voluntary core (un-earmarked) contributions,R02
FAO,FAO,2018,4745534.7,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
FAO,FAO,2018,50724270.32,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
FAO,FAO,2019,1180815.9,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
FAO,FAO,2019,48154913.01,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
FAO,FAO,2017,751094912.4,Voluntary non-core (earmarked) contributions,Voluntary non-core (earmarked) contributions,R03
FAO,FAO,2018,57472751.86,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
FAO,FAO,2018,73453485.44,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
FAO,FAO,2018,85916380.23,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
FAO,FAO,2018,57541649.49,Local resources,Voluntary non-core (earmarked) contributions,R03D
FAO,FAO,2018,792181719.3,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
FAO,FAO,2019,62440195.06,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
FAO,FAO,2019,107578605.1,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
FAO,FAO,2019,94880377.14,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
FAO,FAO,2019,96253955.25,Local resources,Voluntary non-core (earmarked) contributions,R03D
FAO,FAO,2019,746812263.2,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
FAO,FAO,2020,484573828.8,Assessed contributions,Assessed contributions,R01
FAO,FAO,2020,463414.9,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
FAO,FAO,2020,51963445.96,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
FAO,FAO,2020,31691865.34,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
FAO,FAO,2020,76142089.57,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
FAO,FAO,2020,1063658364,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
FAO,FAO,2020,73141720.16,Local resources,Voluntary non-core (earmarked) contributions,R03D
FAO,FAO,2020,8294715.42,Other revenue - external to UN,Revenue from other activities,R04C
FAO,FAO,2020,1539253.57,Other revenue - other UN entities,Revenue from other activities,R04B
FAO,FAO,2021,505404924.4,Assessed Contributions,Assessed Contributions,R01
FAO,FAO,2021,566395.99,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
FAO,FAO,2021,50606846.24,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
FAO,FAO,2021,41339735.08,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
FAO,FAO,2021,86588253.64,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
FAO,FAO,2021,108587611.3,Local resources,Voluntary non-core (earmarked) contributions,R03D
FAO,FAO,2021,1046559660,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
FAO,FAO,2021,8592342.56,Other revenue - external to UN,Revenue from other activities,R04C
FAO,FAO,2021,2387658.95,Other revenue - other UN entities,Revenue from other activities,R04B
FAO,FAO,2022,741030,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,19373,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,77493,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,48433,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,10979839,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,11648219,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,9687,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,556983,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,736187,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,1365820,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,14530,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,1210834,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
